dcid,year,climateFinanceReceivedCommitmentsAdaptationInstrumentUnspecifiedByProviderCurrentUSDAfricanDevelopmentBank,climateFinanceReceivedCommitmentsAdaptationInstrumentUnspecifiedByProviderCurrentUSDAfricanDevelopmentFund,climateFinanceReceivedCommitmentsAdaptationInstrumentUnspecifiedByProviderCurrentUSDAsianDevelopmentBank,climateFinanceReceivedCommitmentsAdaptationInstrumentUnspecifiedByProviderCurrentUSDClimateInvestmentFunds,climateFinanceReceivedCommitmentsAdaptationInstrumentUnspecifiedByProviderCurrentUSDDevelopmentBankofLatinAmerica,climateFinanceReceivedCommitmentsAdaptationInstrumentUnspecifiedByProviderCurrentUSDEUInstitutions,climateFinanceReceivedCommitmentsAdaptationInstrumentUnspecifiedByProviderCurrentUSDGlobalGreenGrowthInstitute,climateFinanceReceivedCommitmentsAdaptationInstrumentUnspecifiedByProviderCurrentUSDGreenClimateFund,climateFinanceReceivedCommitmentsAdaptationInstrumentUnspecifiedByProviderCurrentUSDIDBInvest,climateFinanceReceivedCommitmentsAdaptationInstrumentUnspecifiedByProviderCurrentUSDIFAD,climateFinanceReceivedCommitmentsAdaptationInstrumentUnspecifiedByProviderCurrentUSDInterAmericanDevelopmentBank,climateFinanceReceivedCommitmentsAdaptationInstrumentUnspecifiedByProviderCurrentUSDInternationalFinanceCorporation,climateFinanceReceivedCommitmentsAdaptationInstrumentUnspecifiedByProviderCurrentUSDIslamicDevelopmentBank
Earth,2013,,179353800.0,132609052.4,,,129447689.85000001,,,,,,8616003.4464,
Earth,2014,64700000.0,539935000.0,63076000.0,5000000.0,,68462252.889,,,,,2183490.0,,
Earth,2015,28924063.0,16260458.7,,,,204244603.88446194,,,,11852000.0,,12000000.0,
Earth,2016,137676872.0,,,,,88154602.45040196,2809754.48,,11400000.0,,,,
Earth,2017,300791370.2133429,37722178.91448617,47490000.0,,,125993293.07785185,,,13041000.0,12461600.0,,43960000.0,
Earth,2018,,,,,,146426799.004,,60748483.3249144,25000000.0,,,,
Earth,2019,32973749.479999997,2901633.0,,,,161437964.52612,156559.5256,,201500000.0,,,20857256.400000002,
Earth,2020,,,,,1610947328.272,247825500.0,75184.38399999999,,28135000.0,,,89767053.336,57515400.0
Earth,2021,91596330.3415,88096301.88,,,,179722424.5340426,101178.2412,217655056.73635,228503235.52,,,13743000.000000002,337000.0
country/AFG,2013,,,2000000.0,,,,,,,,,,
country/AGO,2018,,,,,,15342853.77,,,,,,,
country/AGO,2019,32973749.479999997,,,,,,,,,,,,
country/ALB,2019,,,,,,626889.063,,,,,,,
country/ARG,2018,,,,,,9463934.275,,,,,,,
country/ARG,2020,,,,,362300000.0,,,,,,,,
country/ARG,2021,,,,,,54731215.0,,,,,,,
country/ARM,2016,,,,,,3919919.4299458098,,,,,,,
country/BDI,2014,,1000000.0,,,,,,,,,,,
country/BEN,2014,,920000.0,,,,,,,,,,,
country/BEN,2015,12000000.0,,,,,,,,,,,,
country/BEN,2016,,,,,,3317483.13612739,,,,,,,
country/BFA,2013,,2541500.0,,,,,,,,,,,
country/BFA,2017,2500000.0,2500000.0,,,,,,,,,,,
country/BFA,2020,,,,,,8547010.0,,,,,,,
country/BGD,2014,,,58343000.0,,,19901817.7,,,,,,,
country/BGD,2020,,,,,,,,,,,,,6291000.0
country/BOL,2014,,,,,,,,,,,549931.0,,
country/BOL,2018,,,,,,24542814.900000002,,,,,,,
country/BOL,2020,,,,,55400000.0,,,,,,,,
country/BRA,2014,,,,,,,,,,,1293559.0,,
country/BRA,2019,,,,,,24347923.43,,,,,,,
country/BRA,2020,,,,,177025568.272,,,,,,,,
country/CHN,2013,,,96498052.4,,,,,,,,,,
country/CHN,2017,,,,,,33804530.9877573,,,,,,,
country/CHN,2018,,,,,,59010976.04,,,,,,,
country/CIV,2016,22443813.0,,,,,,,,,,,,
country/CIV,2017,,,,,,7101082.5679961,,,,,,,
country/CIV,2021,13919056.344,,,,,,,,,,,,
country/CMR,2014,,8200000.0,,,,,,,,,,,
country/CMR,2017,20225198.0,,,,,,,,,,,,
country/COD,2013,,74903000.0,,,,,,,,,,,
country/COD,2014,,9200000.0,,,,,,,,,,,
country/COG,2015,5921875.0,,,,,,,,,,,,
country/COL,2020,,,,,20550000.0,,,,,,,,
country/CPV,2021,11514771.955,,,,,,,,,,,,
country/CRI,2020,,,,,380000000.0,,,,,,,,
country/DOM,2014,,,,,,,,,,,340000.0,,
country/DOM,2019,,,,,,32425984.45,,,,,,,
country/DOM,2020,,,,,400000.0,,,,,,,,
country/ECU,2020,,,,,257865360.0,14241447.5,,,,,,,
country/ETH,2014,,40600000.0,,,,,,,,,,,
country/ETH,2015,,,,,,8874098.72434831,,,,,,,
country/ETH,2016,3085500.0,,,,,,,,,,,,
country/FJI,2017,,,,,,7980063.6530267205,,,,,,,
country/GAB,2021,28786929.89,,,,,,,,,,,,
country/GEO,2016,,,,,,49762247.0419109,,,,,,,
country/GMB,2017,561800.0,,,,,,,,,,,,
country/GMB,2020,,,,,,,,,,,,,259899.99999999997
country/HND,2015,,,,,,2642793.8242928497,,,,,,,
country/IDN,2015,,,,,,,,,,1500000.0,,,
country/IDN,2017,,,30000000.0,,,,,,,,,,
country/IND,2013,,,31751000.0,,,,,,,,,,
country/JOR,2015,,,,,,5513638.29062673,,,,,,,
country/JOR,2021,,,,,,83027320.0,,,,,,,
country/KAZ,2017,,,,,,22543119.263479702,,,,,,,
country/KAZ,2019,,,,,,1516177.9983,,,,,,,
country/KEN,2013,,62900000.0,,,,,,,,,,,
country/KEN,2015,550603.0,,,,,,,,,,,,
country/KEN,2016,8547525.0,,,,,,,,,,,,
country/KEN,2017,35593399.0,,,,,,,,,,,,
country/KGZ,2020,,,,,,,,,,,,,14700000.0
country/KHM,2018,,,,,,1327837.7310000001,,,,,,,
country/KHM,2019,,,,,,11530280.98,,,,,,,
country/KHM,2020,,,,,,3133904.0,,,,,,,
country/LAO,2018,,,,,,7317361.029,,,,,,,
country/LAO,2019,,,,,,16791671.330000002,,,,,,,
country/LBN,2020,,,,,,,,,,,,,100000.0
country/LBR,2019,,,,,,514944.5875,,,,,,,
country/LKA,2013,,,2360000.0,,,,,,,,,,
country/LKA,2017,,,,,,28181715.702852003,,,,,,,
country/LSO,2013,,8150000.0,,,,,,,,,,,
country/LSO,2019,,,,,,44612112.39,,,,,,,
country/MAR,2015,,,,,,24958402.6622296,,,,,,,
country/MAR,2016,28770000.0,,,,,,,,,,,,
country/MAR,2017,101265574.5225378,,,,,,,,,,,,
country/MAR,2019,,,,,,8479794.022,,,,,,,
country/MAR,2020,,,,,,,,,,,,,20000.0
country/MDA,2014,,,,,,20697890.41,,,,,,,
country/MDG,2016,,,,,,3096317.5937189,,,,,,,
country/MDG,2019,,,,,,9050710.847000001,,,,,,,
country/MEX,2017,,,,,,,,,,12461600.0,,,
country/MEX,2020,,,,,1027400.0,,,,,,,,
country/MLI,2013,,19265300.0,,,,,,,,,,,
country/MLI,2014,,9300000.0,,,,,,,,,,,
country/MLI,2015,404000.0,,,,,,,,,,,,
country/MLI,2017,,,,,,8454514.7108556,,,,,,,
country/MWI,2014,,16900000.0,,,,,,,,,,,
country/MWI,2015,,,,,,3993344.42595674,,,,,,,
country/MWI,2017,500000.0,,,,,,,,,,,,
country/MWI,2020,,,,,,820513.5,,,,,,,
country/NAM,2021,20103414.22,,,,,,,,,,,,
country/NER,2015,,12420000.0,,,,,,,,,,,
country/NGA,2014,27100000.0,,,,,,,,,,,,
country/NGA,2020,,,,,,199430200.0,,,,,,,155000.0
country/NPL,2014,,,400000.0,,,,,,,,,,
country/PAK,2014,,,4333000.0,,,,,,,,,,
country/PAK,2017,,,15990000.0,,,,,,,,,,
country/PAN,2016,,,,,,7606812.65785691,,,,,,,
country/PAN,2020,,,,,50400000.0,,,,,,,,
country/PER,2020,,,,,304900000.0,,,,,,,,
country/PNG,2015,,,,,,11839700.390460301,,,,,,,
country/PRY,2020,,,,,400000.0,,,,,,,,
country/PSE,2020,,,,,,,,,,,,,155000.0
country/RWA,2014,,3000000.0,,,,,,,,,,,
country/RWA,2017,102682200.0,614761.66,,,,,,,,,,,
country/SDN,2021,,74986945.88,,,,,,,,,,,
country/SEN,2014,,20000000.0,,,,,,,,,,,
country/SEN,2016,1057056.0,,,,,8680747.539533341,,,,,,,
country/SEN,2017,12761000.0,,,,,,,,,,,,
country/SEN,2018,,,,,,6137141.507999999,,,,,,,
country/SEN,2020,,,,,,,,,,,,,1900000.0
country/SLV,2015,,,,,,,,,,3642000.0,,,
country/SSD,2013,,5425000.0,,,,,,,,,,,
country/SSD,2016,1345821.0,,,,,,,,,,,,
country/SSD,2017,,1138139.83,,,,,,,,,,,
country/SSD,2019,,2901633.0,,,,,,,,,,,
country/STP,2019,,,,,,6436807.344,,,,,,,
country/SWZ,2014,2700000.0,2295000.0,,,,,,,,,,,
country/SWZ,2015,305000.0,,,,,,,,,,,,
country/SWZ,2016,31047100.0,,,,,,,,,,,,
country/TCD,2014,,620000.0,,,,,,,,,,,
country/TCD,2020,,,,,,,,,,,,,32740000.0
country/TON,2017,,,600000.0,,,,,,,,,,
country/TUN,2014,12400000.0,,,,,,,,,,,,
country/TUN,2015,8961070.0,3840458.7,,,,,,,,,,,
country/TUN,2016,22680000.0,,,,,,,,,,,,
country/TUN,2019,,,,,,67166.68532,,,,,,,
country/TUN,2020,,,,,,21652425.0,,,,,,,
country/TUN,2021,17272157.932499997,,,,,,,,,,,,
country/TUR,2013,,,,,,99575146.04,,,,,,,
country/TUR,2015,,,,,,39933444.259567395,,,,,,,
country/TUR,2020,,,,,,,,,,,,,21500.0
country/TUV,2017,,,300000.0,,,,,,,,,,
country/TZA,2013,,,,,,29872543.81,,,,,,,
country/TZA,2015,361515.0,,,,,,,,,,,,
country/TZA,2016,2684014.0,,,,,,,,,,,,
country/TZA,2017,2684013.8200000003,,,,,,,,,,,,
country/UGA,2014,,4100000.0,,,,,,,,,,,
country/UGA,2016,7100000.0,,,,,,,,,,,,
country/UGA,2021,,13109356.0,,,,,,,,,,,
country/UKR,2014,,,,,,27862544.779,,,,,,,
country/UKR,2015,,,,,,106489181.30698,,,,,,,
country/UKR,2016,,,,,,11771075.0513087,,,,,,,
country/UKR,2017,,,,,,15111221.94290464,,,,,,,
country/UKR,2019,,,,,,5037501.399,,,,,,,
country/UKR,2021,,,,,,37665045.7340426,,,,,,,
country/UZB,2020,,,,,,,,,,,,,110000.0
country/VEN,2015,,,,,,,,,,6710000.0,,,
country/VEN,2020,,,,,400000.0,,,,,,,,
country/WSM,2017,,,600000.0,,,,,,,,,,
country/YEM,2020,,,,,,,,,,,,,63000.0
country/ZAF,2017,,,,,,2817044.2489797804,,,,,,,
country/ZMB,2014,22500000.0,,,,,,,,,,,,
country/ZMB,2016,25201.0,,,,,,,,,,,,
country/ZMB,2017,7252528.889610482,,,,,,,,,,,,
